# time [s], Channel 0, Channel 1, Channel 2
1.666333300000000150e+01;4.507972896099090576e-01;4.515297114849090576e-01;3.108567893505096436e-01
1.666666700000000034e+01;4.483558535575866699e-01;4.503090083599090576e-01;3.093919157981872559e-01
1.667000000000000171e+01;4.503090083599090576e-01;4.444495439529418945e-01;3.074387609958648682e-01
1.667333299999999952e+01;4.571450352668762207e-01;4.427405297756195068e-01;3.047531843185424805e-01
1.667666699999999835e+01;4.581216275691986084e-01;4.422522187232971191e-01;3.030441701412200928e-01
1.668000100000000074e+01;4.569008946418762207e-01;4.410315155982971191e-01;3.015792965888977051e-01
1.668333399999999855e+01;4.534828662872314453e-01;4.422522187232971191e-01;3.003585934638977051e-01
1.668666599999999889e+01;4.532387256622314453e-01;4.424963891506195068e-01;3.003585934638977051e-01
1.669000000000000128e+01;4.542153179645538330e-01;4.402990639209747314e-01;2.986495792865753174e-01
1.669333400000000012e+01;4.581216275691986084e-01;4.429846704006195068e-01;2.991378605365753174e-01
1.669666799999999895e+01;4.564126133918762207e-01;4.437170922756195068e-01;2.998703122138977051e-01
1.670000100000000032e+01;4.510414302349090576e-01;4.466468393802642822e-01;3.008468747138977051e-01
1.670333400000000168e+01;4.500648379325866699e-01;4.490882754325866699e-01;3.030441701412200928e-01
1.670666599999999846e+01;4.490882754325866699e-01;4.456702470779418945e-01;3.013351559638977051e-01
1.671000000000000085e+01;4.517738521099090576e-01;4.446936845779418945e-01;3.018234670162200928e-01
1.671333299999999866e+01;4.600747823715209961e-01;4.442053735256195068e-01;3.020676076412200928e-01
1.671666600000000003e+01;4.627603590488433838e-01;4.459143877029418945e-01;3.015792965888977051e-01
1.672000099999999989e+01;4.593423306941986084e-01;4.500648379325866699e-01;3.030441701412200928e-01
1.672333300000000023e+01;4.522621631622314453e-01;4.510414302349090576e-01;3.040207624435424805e-01
1.672666699999999906e+01;4.493324160575866699e-01;4.507972896099090576e-01;3.057297766208648682e-01
1.673000000000000043e+01;4.507972896099090576e-01;4.495765566825866699e-01;3.049973249435424805e-01
1.673333299999999824e+01;4.551918804645538330e-01;4.466468393802642822e-01;3.037766218185424805e-01
1.673666599999999960e+01;4.593423306941986084e-01;4.481116831302642822e-01;3.047531843185424805e-01
1.674000200000000049e+01;4.544594585895538330e-01;4.495765566825866699e-01;3.040207624435424805e-01
1.674333299999999980e+01;4.468909800052642822e-01;4.542153179645538330e-01;3.052414655685424805e-01
1.674666699999999864e+01;4.454261064529418945e-01;4.515297114849090576e-01;3.059739172458648682e-01
1.675000000000000000e+01;4.493324160575866699e-01;4.473792612552642822e-01;3.049973249435424805e-01
1.675333300000000136e+01;4.532387256622314453e-01;4.461585283279418945e-01;3.040207624435424805e-01
